Passage,NewID,WordNoPunctuation,WordWithPunctuation,WordClass,PartOfSpeech
1,1Aw01,Very,Very,Content,ADV
1,1Aw02,few,few,Content,ADJ
1,1Aw03,issues,issues,Content,NOUN
1,1Aw04,can,can,Function,AUX
1,1Aw05,bring,bring,Content,VERB
1,1Aw06,together,together,Content,ADV
1,1Aw07,lawmakers,lawmakers,Content,NOUN
1,1Aw08,of,of,Function,ADP
1,1Aw09,both,both,Function,DET
1,1Aw10,parties,parties.,Content,NOUN
1,1Bw01,Animal,Animal,Content,ADJ
1,1Bw02,cruelty,cruelty,Content,NOUN
1,1Bw03,is,is,Content,AUX
1,1Bw04,one,one,Function,NUM
1,1Bw05,of,of,Function,ADP
1,1Bw06,them,them.,Function,PRON
2,2Aw01,Koalas,Koalas,Content,NOUN
2,2Aw02,have,have,Content,AUX
2,2Aw03,been,been,Content,AUX
2,2Aw04,running,running,Content,VERB
2,2Aw05,into,into,Function,ADP
2,2Aw06,hard,hard,Content,ADJ
2,2Aw07,times,times.,Content,NOUN
2,2Bw01,They,They,Function,PRON
2,2Bw02,have,have,Content,AUX
2,2Bw03,suffered,suffered,Content,VERB
2,2Bw04,for,for,Function,ADP
2,2Bw05,years,years,Content,NOUN
2,2Bw06,from,from,Function,ADP
2,2Bw07,habitat,habitat,Content,NOUN
2,2Bw08,destruction,"destruction,",Content,NOUN
2,2Bw09,dog,dog,Content,NOUN
2,2Bw10,attacks,"attacks,",Content,NOUN
2,2Bw11,automobile,automobile,Content,NOUN
2,2Bw12,accidents,accidents.,Content,NOUN
3,3Aw01,Pancreatic,Pancreatic,Content,ADJ
3,3Aw02,cancer,cancer,Content,NOUN
3,3Aw03,has,has,Content,VERB
3,3Aw04,a,a,Function,DET
3,3Aw05,bad,bad,Content,ADJ
3,3Aw06,reputation,reputation.,Content,NOUN
3,3Bw01,It,It,Function,PRON
3,3Bw02,is,is,Content,AUX
3,3Bw03,a,a,Function,DET
3,3Bw04,terrible,terrible,Content,ADJ
3,3Bw05,disease,"disease,",Content,NOUN
3,3Bw06,but,but,Function,CCONJ
3,3Bw07,most,most,Content,ADJ
3,3Bw08,people,people,Content,NOUN
3,3Bw09,do,do,Content,AUX
3,3Bw10,not,not,Content,PART
3,3Bw11,realize,realize,Content,VERB
3,3Bw12,there,there,Content,PRON
3,3Bw13,are,are,Content,VERB
3,3Bw14,ways,ways,Content,NOUN
3,3Bw15,that,that,Function,PRON
3,3Bw16,early,early,Content,ADJ
3,3Bw17,detection,detection,Content,NOUN
3,3Bw18,can,can,Function,AUX
3,3Bw19,help,help.,Content,VERB
4,4Aw01,Some,Some,Function,DET
4,4Aw02,nutrition,nutrition,Content,NOUN
4,4Aw03,experts,experts,Content,NOUN
4,4Aw04,say,say,Content,VERB
4,4Aw05,eggs,eggs,Content,NOUN
4,4Aw06,are,are,Content,AUX
4,4Aw07,good,good,Content,ADJ
4,4Aw08,for,for,Function,ADP
4,4Aw09,you,"you,",Function,PRON
4,4Aw10,even,even,Content,ADV
4,4Aw11,though,though,Function,SCONJ
4,4Aw12,they,they,Function,PRON
4,4Aw13,are,are,Content,AUX
4,4Aw14,high,high,Content,ADJ
4,4Aw15,in,in,Function,ADP
4,4Aw16,cholesterol,cholesterol.,Content,NOUN
4,4Bw01,Others,Others,Content,NOUN
4,4Bw02,are,are,Content,AUX
4,4Bw03,sure,sure,Content,ADJ
4,4Bw04,they,they,Function,PRON
4,4Bw05,are,are,Content,AUX
4,4Bw06,bad,bad.,Content,ADJ
5,5Aw01,Experts,Experts,Content,NOUN
5,5Aw02,generally,generally,Content,ADV
5,5Aw03,agree,agree,Content,VERB
5,5Aw04,that,that,Function,SCONJ
5,5Aw05,watching,watching,Content,VERB
5,5Aw06,a,a,Function,DET
5,5Aw07,lot,lot,Content,NOUN
5,5Aw08,of,of,Function,ADP
5,5Aw09,television,television,Content,NOUN
5,5Aw10,is,is,Content,AUX
5,5Aw11,bad,bad,Content,ADJ
5,5Aw12,for,for,Function,ADP
5,5Aw13,children,children.,Content,NOUN
5,5Bw01,Now,Now,Content,INTJ
5,5Bw02,a,a,Function,DET
5,5Bw03,new,new,Content,ADJ
5,5Bw04,study,study,Content,NOUN
5,5Bw05,suggests,suggests,Content,VERB
5,5Bw06,it,it,Function,PRON
