Passage,NewID,WordNoPunctuation,WordWithPunctuation,WordClass,PartOfSpeech,surprisal
1,1Aw01,Very,Very,Content,ADV,8.40223217010498
1,1Aw02,few,few,Content,ADJ,1.9574692249298096
1,1Aw03,issues,issues,Content,NOUN,6.669275283813477
1,1Aw04,can,can,Function,AUX,2.058669328689575
1,1Aw05,bring,bring,Content,VERB,5.005819320678711
1,1Aw06,together,together,Content,ADV,4.819222450256348
1,1Aw07,lawmakers,lawmakers,Content,NOUN,10.067116737365723
1,1Aw08,of,of,Function,ADP,4.128819465637207
1,1Aw09,both,both,Function,DET,1.6320569515228271
1,1Aw10,parties,parties.,Content,NOUN,2.0344350412487984
1,1Bw01,Animal,Animal,Content,ADJ,12.97083568572998
1,1Bw02,cruelty,cruelty,Content,NOUN,3.6028683185577393
1,1Bw03,is,is,Content,AUX,1.2364286184310913
1,1Bw04,one,one,Function,NUM,1.3856911659240723
1,1Bw05,of,of,Function,ADP,0.3943229913711548
1,1Bw06,them,them.,Function,PRON,0.779679924249649
2,2Aw01,Koalas,Koalas,Content,NOUN,14.55847941339016
2,2Aw02,have,have,Content,AUX,4.432387351989746
2,2Aw03,been,been,Content,AUX,1.0488801002502441
2,2Aw04,running,running,Content,VERB,5.936418533325195
2,2Aw05,into,into,Function,ADP,4.445590019226074
2,2Aw06,hard,hard,Content,ADJ,6.957342147827148
2,2Aw07,times,times.,Content,NOUN,3.507827192544937
2,2Bw01,They,They,Function,PRON,2.6552348136901855
2,2Bw02,have,have,Content,AUX,1.7086846828460693
2,2Bw03,suffered,suffered,Content,VERB,4.361027240753174
2,2Bw04,for,for,Function,ADP,4.899120330810547
2,2Bw05,years,years,Content,NOUN,1.3915718793869019
2,2Bw06,from,from,Function,ADP,1.6625230312347412
2,2Bw07,habitat,habitat,Content,NOUN,7.850417613983154
2,2Bw08,destruction,"destruction,",Content,NOUN,3.0123215317726135
2,2Bw09,dog,dog,Content,NOUN,9.147878646850586
2,2Bw10,attacks,"attacks,",Content,NOUN,2.3989191353321075
